Food_A,Food_B,Food_C,Type,Reason,Impact
Jowar,Paneer,Potato,GOOD,Stable glucose,metabolic
Carrot,Milk,Bajra,DEPENDS,Context based,neutral
Chicken,Milk,Broccoli,DEPENDS,Context based,neutral
Apple,Rice,Bajra,DEPENDS,Context based,neutral
Ragi,Quinoa,Olive Oil,DEPENDS,Context based,neutral
Curd,Milk,Curd,DEPENDS,Context based,neutral
Banana,Broccoli,Fish,DEPENDS,Context based,neutral
Olive Oil,Chicken,Curd,DEPENDS,Context based,neutral
Chicken,Dal,Rice,GOOD,Stable glucose,metabolic
Olive Oil,Banana,Dal,DEPENDS,Context based,neutral
Brown Rice,Tomato,Broccoli,DEPENDS,Context based,neutral
Dal,Tomato,Fish,DEPENDS,Context based,neutral
Curd,Olive Oil,Jowar,DEPENDS,Context based,neutral
Quinoa,Rice,Bajra,DEPENDS,Context based,neutral
Sweet Potato,Brown Rice,Broccoli,DEPENDS,Context based,neutral
Chicken,Olive Oil,Broccoli,DEPENDS,Context based,neutral
Olive Oil,Tomato,Sweet Potato,DEPENDS,Context based,neutral
Spinach,Fish,Tomato,GOOD,Iron absorption boost,absorption
Potato,Brown Rice,Bajra,DEPENDS,Context based,neutral
Orange,Spinach,Quinoa,GOOD,Iron absorption boost,absorption
Curd,Tomato,Orange,DEPENDS,Context based,neutral
Spinach,Egg,Potato,GOOD,Stable glucose,metabolic
Apple,Banana,Almonds,DEPENDS,Context based,neutral
Dal,Quinoa,Curd,GOOD,Stable glucose,metabolic
Lemon,Ragi,Chickpeas,GOOD,Stable glucose,metabolic
Chickpeas,Olive Oil,Milk,DEPENDS,Context based,neutral
Peanut Butter,Apple,Milk,DEPENDS,Context based,neutral
Olive Oil,Orange,Spinach,GOOD,Iron absorption boost,absorption
Chicken,Chickpeas,Chicken,DEPENDS,Context based,neutral
Almonds,Potato,Apple,BAD,Heavy digestion + sugar spike,metabolic
Ragi,Milk,Dal,GOOD,Stable glucose,metabolic
Carrot,Jowar,Rice,DEPENDS,Context based,neutral
Lemon,Paneer,Spinach,GOOD,Iron absorption boost,absorption
Olive Oil,Almonds,Banana,DEPENDS,Context based,neutral
Chickpeas,Ragi,Sweet Potato,GOOD,Stable glucose,metabolic
Chickpeas,Potato,Rice,GOOD,Stable glucose,metabolic
Olive Oil,Lemon,Apple,DEPENDS,Context based,neutral
Broccoli,Chicken,Apple,DEPENDS,Context based,neutral
Ragi,Ghee,Ragi,DEPENDS,Context based,neutral
Almonds,Potato,Tomato,DEPENDS,Context based,neutral
Dal,Quinoa,Curd,GOOD,Stable glucose,metabolic
Banana,Brown Rice,Peanut Butter,BAD,Heavy digestion + sugar spike,metabolic
Jowar,Tomato,Orange,DEPENDS,Context based,neutral
Rice,Banana,Jowar,DEPENDS,Context based,neutral
Potato,Apple,Banana,DEPENDS,Context based,neutral
Lemon,Potato,Apple,DEPENDS,Context based,neutral
Lemon,Potato,Apple,DEPENDS,Context based,neutral
Dal,Ragi,Paneer,GOOD,Stable glucose,metabolic
Jowar,Carrot,Chickpeas,GOOD,Stable glucose,metabolic
Chicken,Potato,Bajra,GOOD,Stable glucose,metabolic
Paneer,Paneer,Curd,DEPENDS,Context based,neutral
Rice,Carrot,Ragi,DEPENDS,Context based,neutral
Rice,Almonds,Bajra,DEPENDS,Context based,neutral
Brown Rice,Potato,Rice,DEPENDS,Context based,neutral
Sweet Potato,Potato,Quinoa,DEPENDS,Context based,neutral
Egg,Paneer,Paneer,DEPENDS,Context based,neutral
Bajra,Dal,Chickpeas,GOOD,Stable glucose,metabolic
Ghee,Bajra,Potato,DEPENDS,Context based,neutral
Rice,Sweet Potato,Curd,DEPENDS,Context based,neutral
Curd,Potato,Banana,DEPENDS,Context based,neutral
Lemon,Paneer,Banana,DEPENDS,Context based,neutral
Sweet Potato,Tomato,Potato,DEPENDS,Context based,neutral
Tomato,Carrot,Curd,DEPENDS,Context based,neutral
Apple,Curd,Peanut Butter,DEPENDS,Context based,neutral
Chicken,Rice,Carrot,GOOD,Stable glucose,metabolic
Ragi,Banana,Carrot,DEPENDS,Context based,neutral
Paneer,Broccoli,Carrot,DEPENDS,Context based,neutral
Tomato,Fish,Broccoli,DEPENDS,Context based,neutral
Potato,Lemon,Olive Oil,DEPENDS,Context based,neutral
Ghee,Ragi,Lemon,DEPENDS,Context based,neutral
Ghee,Peanut Butter,Olive Oil,DEPENDS,Context based,neutral
Lemon,Curd,Rice,DEPENDS,Context based,neutral
Chickpeas,Ghee,Dal,DEPENDS,Context based,neutral
Fish,Egg,Quinoa,GOOD,Stable glucose,metabolic
Bajra,Paneer,Banana,GOOD,Stable glucose,metabolic
Curd,Fish,Banana,DEPENDS,Context based,neutral
Olive Oil,Rice,Sweet Potato,DEPENDS,Context based,neutral
Carrot,Carrot,Broccoli,DEPENDS,Context based,neutral
Paneer,Ragi,Tomato,GOOD,Stable glucose,metabolic
Paneer,Bajra,Brown Rice,GOOD,Stable glucose,metabolic
Almonds,Tomato,Brown Rice,DEPENDS,Context based,neutral
Banana,Chicken,Chicken,DEPENDS,Context based,neutral
Chicken,Almonds,Lemon,DEPENDS,Context based,neutral
Chickpeas,Sweet Potato,Paneer,GOOD,Stable glucose,metabolic
Ghee,Jowar,Dal,GOOD,Stable glucose,metabolic
Orange,Broccoli,Ghee,DEPENDS,Context based,neutral
Apple,Apple,Bajra,DEPENDS,Context based,neutral
Curd,Rice,Olive Oil,DEPENDS,Context based,neutral
Jowar,Carrot,Brown Rice,DEPENDS,Context based,neutral
Almonds,Carrot,Dal,GOOD,Vitamin A absorption,absorption
Tomato,Almonds,Almonds,DEPENDS,Context based,neutral
Chickpeas,Fish,Olive Oil,DEPENDS,Context based,neutral
Jowar,Banana,Carrot,DEPENDS,Context based,neutral
Olive Oil,Potato,Tomato,DEPENDS,Context based,neutral
Lemon,Fish,Tomato,DEPENDS,Context based,neutral
Bajra,Egg,Ghee,GOOD,Stable glucose,metabolic
Bajra,Bajra,Chicken,GOOD,Stable glucose,metabolic
Banana,Curd,Rice,DEPENDS,Context based,neutral
Bajra,Bajra,Spinach,DEPENDS,Context based,neutral
Dal,Rice,Rice,GOOD,Stable glucose,metabolic
Olive Oil,Sweet Potato,Banana,BAD,Heavy digestion + sugar spike,metabolic
Ghee,Curd,Chickpeas,DEPENDS,Context based,neutral
Fish,Jowar,Fish,GOOD,Stable glucose,metabolic
Spinach,Rice,Banana,DEPENDS,Context based,neutral
Spinach,Almonds,Milk,BAD,Calcium blocks iron,absorption
Potato,Orange,Dal,GOOD,Stable glucose,metabolic
Potato,Bajra,Banana,DEPENDS,Context based,neutral
Carrot,Potato,Potato,DEPENDS,Context based,neutral
Egg,Carrot,Peanut Butter,GOOD,Vitamin A absorption,absorption
Curd,Lemon,Potato,DEPENDS,Context based,neutral
Carrot,Rice,Egg,GOOD,Stable glucose,metabolic
Quinoa,Dal,Brown Rice,GOOD,Stable glucose,metabolic
Ghee,Almonds,Egg,DEPENDS,Context based,neutral
Ragi,Quinoa,Brown Rice,DEPENDS,Context based,neutral
Tomato,Quinoa,Dal,GOOD,Stable glucose,metabolic
Carrot,Broccoli,Chickpeas,DEPENDS,Context based,neutral
Olive Oil,Egg,Orange,DEPENDS,Context based,neutral
Fish,Carrot,Milk,DEPENDS,Context based,neutral
Sweet Potato,Olive Oil,Almonds,DEPENDS,Context based,neutral
Carrot,Orange,Dal,DEPENDS,Context based,neutral
Bajra,Ragi,Milk,DEPENDS,Context based,neutral
Apple,Carrot,Spinach,DEPENDS,Context based,neutral
Orange,Brown Rice,Fish,GOOD,Stable glucose,metabolic
Chicken,Olive Oil,Tomato,DEPENDS,Context based,neutral
Ragi,Fish,Jowar,GOOD,Stable glucose,metabolic
Brown Rice,Carrot,Chicken,GOOD,Stable glucose,metabolic
Ghee,Egg,Peanut Butter,DEPENDS,Context based,neutral
Broccoli,Egg,Curd,DEPENDS,Context based,neutral
Broccoli,Ghee,Lemon,DEPENDS,Context based,neutral
Orange,Orange,Sweet Potato,DEPENDS,Context based,neutral
Orange,Apple,Lemon,DEPENDS,Context based,neutral
Brown Rice,Bajra,Lemon,DEPENDS,Context based,neutral
Olive Oil,Apple,Chicken,DEPENDS,Context based,neutral
Lemon,Fish,Tomato,DEPENDS,Context based,neutral
Chicken,Chicken,Brown Rice,GOOD,Stable glucose,metabolic
Spinach,Broccoli,Quinoa,DEPENDS,Context based,neutral
Almonds,Chicken,Paneer,DEPENDS,Context based,neutral
Carrot,Peanut Butter,Lemon,GOOD,Vitamin A absorption,absorption
Jowar,Lemon,Tomato,DEPENDS,Context based,neutral
Apple,Curd,Rice,DEPENDS,Context based,neutral
Rice,Fish,Sweet Potato,GOOD,Stable glucose,metabolic
Rice,Chicken,Fish,GOOD,Stable glucose,metabolic
Jowar,Banana,Broccoli,DEPENDS,Context based,neutral
Egg,Bajra,Chickpeas,GOOD,Stable glucose,metabolic
Ghee,Tomato,Olive Oil,DEPENDS,Context based,neutral
Egg,Tomato,Potato,GOOD,Stable glucose,metabolic
Potato,Ghee,Sweet Potato,DEPENDS,Context based,neutral
Brown Rice,Sweet Potato,Orange,DEPENDS,Context based,neutral
Broccoli,Dal,Milk,DEPENDS,Context based,neutral
Fish,Ragi,Fish,GOOD,Stable glucose,metabolic
Paneer,Lemon,Chicken,DEPENDS,Context based,neutral
Sweet Potato,Potato,Potato,DEPENDS,Context based,neutral
Apple,Ghee,Peanut Butter,DEPENDS,Context based,neutral
Apple,Chickpeas,Chicken,DEPENDS,Context based,neutral
Broccoli,Rice,Rice,DEPENDS,Context based,neutral
Fish,Broccoli,Potato,GOOD,Stable glucose,metabolic
Orange,Fish,Chicken,DEPENDS,Context based,neutral
Carrot,Lemon,Rice,DEPENDS,Context based,neutral
Potato,Olive Oil,Jowar,DEPENDS,Context based,neutral
Bajra,Spinach,Egg,GOOD,Stable glucose,metabolic
Ragi,Jowar,Egg,GOOD,Stable glucose,metabolic
Tomato,Peanut Butter,Sweet Potato,DEPENDS,Context based,neutral
Broccoli,Milk,Curd,DEPENDS,Context based,neutral
Ghee,Brown Rice,Broccoli,DEPENDS,Context based,neutral
Almonds,Olive Oil,Dal,DEPENDS,Context based,neutral
Spinach,Chickpeas,Tomato,GOOD,Iron absorption boost,absorption
Dal,Milk,Egg,DEPENDS,Context based,neutral
Jowar,Banana,Ghee,BAD,Heavy digestion + sugar spike,metabolic
Paneer,Dal,Chickpeas,DEPENDS,Context based,neutral
Rice,Almonds,Potato,DEPENDS,Context based,neutral
Fish,Tomato,Chickpeas,DEPENDS,Context based,neutral
Jowar,Peanut Butter,Ghee,DEPENDS,Context based,neutral
Fish,Lemon,Olive Oil,DEPENDS,Context based,neutral
Paneer,Jowar,Ghee,GOOD,Stable glucose,metabolic
Ragi,Potato,Olive Oil,DEPENDS,Context based,neutral
Paneer,Rice,Milk,GOOD,Stable glucose,metabolic
Ghee,Carrot,Milk,GOOD,Vitamin A absorption,absorption
Brown Rice,Dal,Paneer,GOOD,Stable glucose,metabolic
Peanut Butter,Tomato,Bajra,DEPENDS,Context based,neutral
Lemon,Almonds,Peanut Butter,DEPENDS,Context based,neutral
Banana,Apple,Milk,DEPENDS,Context based,neutral
Tomato,Carrot,Apple,DEPENDS,Context based,neutral
Rice,Milk,Sweet Potato,DEPENDS,Context based,neutral
Jowar,Chickpeas,Ghee,GOOD,Stable glucose,metabolic
Jowar,Milk,Ragi,DEPENDS,Context based,neutral
Milk,Chickpeas,Sweet Potato,GOOD,Stable glucose,metabolic
Broccoli,Tomato,Ghee,DEPENDS,Context based,neutral
Rice,Ragi,Tomato,DEPENDS,Context based,neutral
Carrot,Banana,Banana,DEPENDS,Context based,neutral
Broccoli,Peanut Butter,Peanut Butter,DEPENDS,Context based,neutral
Paneer,Potato,Apple,GOOD,Stable glucose,metabolic
Banana,Chicken,Chicken,DEPENDS,Context based,neutral
Fish,Olive Oil,Almonds,DEPENDS,Context based,neutral
Curd,Bajra,Brown Rice,DEPENDS,Context based,neutral
Carrot,Chicken,Milk,DEPENDS,Context based,neutral
Banana,Rice,Broccoli,DEPENDS,Context based,neutral
Egg,Peanut Butter,Dal,DEPENDS,Context based,neutral
Dal,Egg,Broccoli,DEPENDS,Context based,neutral
Milk,Jowar,Fish,GOOD,Stable glucose,metabolic
Paneer,Carrot,Curd,DEPENDS,Context based,neutral
Broccoli,Spinach,Paneer,DEPENDS,Context based,neutral
Brown Rice,Peanut Butter,Carrot,GOOD,Vitamin A absorption,absorption
Jowar,Potato,Fish,GOOD,Stable glucose,metabolic
Olive Oil,Chickpeas,Paneer,DEPENDS,Context based,neutral
Milk,Banana,Paneer,DEPENDS,Context based,neutral
Fish,Olive Oil,Fish,DEPENDS,Context based,neutral
Milk,Olive Oil,Fish,DEPENDS,Context based,neutral
Chickpeas,Lemon,Apple,DEPENDS,Context based,neutral
Almonds,Peanut Butter,Egg,DEPENDS,Context based,neutral
Banana,Dal,Brown Rice,GOOD,Stable glucose,metabolic
Ragi,Banana,Brown Rice,DEPENDS,Context based,neutral
Banana,Banana,Orange,DEPENDS,Context based,neutral
Milk,Broccoli,Tomato,DEPENDS,Context based,neutral
Potato,Spinach,Bajra,DEPENDS,Context based,neutral
Bajra,Olive Oil,Dal,GOOD,Stable glucose,metabolic
Almonds,Quinoa,Curd,DEPENDS,Context based,neutral
Peanut Butter,Ragi,Spinach,DEPENDS,Context based,neutral
Egg,Peanut Butter,Egg,DEPENDS,Context based,neutral
Broccoli,Jowar,Chicken,GOOD,Stable glucose,metabolic
Sweet Potato,Paneer,Jowar,GOOD,Stable glucose,metabolic
Carrot,Dal,Paneer,DEPENDS,Context based,neutral
Broccoli,Broccoli,Lemon,DEPENDS,Context based,neutral
Lemon,Peanut Butter,Sweet Potato,DEPENDS,Context based,neutral
Potato,Carrot,Fish,GOOD,Stable glucose,metabolic
Carrot,Almonds,Broccoli,GOOD,Vitamin A absorption,absorption
Sweet Potato,Tomato,Rice,DEPENDS,Context based,neutral
Bajra,Fish,Tomato,GOOD,Stable glucose,metabolic
Chicken,Quinoa,Paneer,GOOD,Stable glucose,metabolic
Fish,Chickpeas,Olive Oil,DEPENDS,Context based,neutral
Potato,Apple,Milk,DEPENDS,Context based,neutral
Paneer,Dal,Chicken,DEPENDS,Context based,neutral
Paneer,Ragi,Milk,GOOD,Stable glucose,metabolic
Quinoa,Milk,Potato,DEPENDS,Context based,neutral
Broccoli,Lemon,Ragi,DEPENDS,Context based,neutral
Dal,Carrot,Sweet Potato,GOOD,Stable glucose,metabolic
Dal,Sweet Potato,Banana,GOOD,Stable glucose,metabolic
Sweet Potato,Quinoa,Broccoli,DEPENDS,Context based,neutral
Spinach,Milk,Tomato,GOOD,Iron absorption boost,absorption
Curd,Spinach,Brown Rice,BAD,Calcium blocks iron,absorption
Jowar,Apple,Jowar,DEPENDS,Context based,neutral
Bajra,Milk,Curd,DEPENDS,Context based,neutral
Paneer,Potato,Brown Rice,GOOD,Stable glucose,metabolic
Tomato,Peanut Butter,Jowar,DEPENDS,Context based,neutral
Potato,Ghee,Rice,DEPENDS,Context based,neutral
Orange,Rice,Curd,DEPENDS,Context based,neutral
Spinach,Tomato,Sweet Potato,GOOD,Iron absorption boost,absorption
Peanut Butter,Orange,Olive Oil,DEPENDS,Context based,neutral
Potato,Curd,Chicken,GOOD,Stable glucose,metabolic
Broccoli,Olive Oil,Almonds,DEPENDS,Context based,neutral
Chickpeas,Fish,Chicken,DEPENDS,Context based,neutral
Rice,Dal,Potato,GOOD,Stable glucose,metabolic
Curd,Potato,Almonds,DEPENDS,Context based,neutral
Sweet Potato,Banana,Rice,DEPENDS,Context based,neutral
Bajra,Almonds,Sweet Potato,DEPENDS,Context based,neutral
Curd,Brown Rice,Milk,DEPENDS,Context based,neutral
Orange,Egg,Banana,DEPENDS,Context based,neutral
Ragi,Milk,Orange,DEPENDS,Context based,neutral
Dal,Paneer,Sweet Potato,GOOD,Stable glucose,metabolic
Ghee,Paneer,Ghee,DEPENDS,Context based,neutral
Apple,Olive Oil,Fish,DEPENDS,Context based,neutral
Milk,Quinoa,Chicken,GOOD,Stable glucose,metabolic
Dal,Fish,Broccoli,DEPENDS,Context based,neutral
Banana,Tomato,Peanut Butter,DEPENDS,Context based,neutral
Milk,Dal,Carrot,DEPENDS,Context based,neutral
Egg,Tomato,Potato,GOOD,Stable glucose,metabolic
Olive Oil,Olive Oil,Lemon,DEPENDS,Context based,neutral
Banana,Tomato,Egg,DEPENDS,Context based,neutral
Orange,Dal,Sweet Potato,GOOD,Stable glucose,metabolic
Apple,Ghee,Ragi,BAD,Heavy digestion + sugar spike,metabolic
Brown Rice,Ghee,Egg,GOOD,Stable glucose,metabolic
Olive Oil,Olive Oil,Chicken,DEPENDS,Context based,neutral
Carrot,Ragi,Jowar,DEPENDS,Context based,neutral
Paneer,Broccoli,Broccoli,DEPENDS,Context based,neutral
Potato,Bajra,Ghee,DEPENDS,Context based,neutral
Sweet Potato,Sweet Potato,Brown Rice,DEPENDS,Context based,neutral
Peanut Butter,Ragi,Egg,GOOD,Stable glucose,metabolic
Carrot,Milk,Peanut Butter,GOOD,Vitamin A absorption,absorption
Orange,Rice,Broccoli,DEPENDS,Context based,neutral
Rice,Chicken,Ghee,GOOD,Stable glucose,metabolic
Jowar,Olive Oil,Lemon,DEPENDS,Context based,neutral
Curd,Almonds,Fish,DEPENDS,Context based,neutral
Potato,Egg,Tomato,GOOD,Stable glucose,metabolic
Banana,Brown Rice,Spinach,DEPENDS,Context based,neutral
Egg,Jowar,Brown Rice,GOOD,Stable glucose,metabolic
Chickpeas,Chicken,Bajra,GOOD,Stable glucose,metabolic
Broccoli,Ghee,Chicken,DEPENDS,Context based,neutral
Olive Oil,Spinach,Ragi,DEPENDS,Context based,neutral
Chickpeas,Ghee,Almonds,DEPENDS,Context based,neutral
Orange,Brown Rice,Fish,GOOD,Stable glucose,metabolic
Almonds,Dal,Ghee,DEPENDS,Context based,neutral
Almonds,Bajra,Jowar,DEPENDS,Context based,neutral
Curd,Lemon,Milk,DEPENDS,Context based,neutral
Tomato,Rice,Ghee,DEPENDS,Context based,neutral
Almonds,Brown Rice,Chickpeas,GOOD,Stable glucose,metabolic
Olive Oil,Paneer,Fish,DEPENDS,Context based,neutral
Rice,Chicken,Ragi,GOOD,Stable glucose,metabolic
Fish,Jowar,Bajra,GOOD,Stable glucose,metabolic
Orange,Paneer,Egg,DEPENDS,Context based,neutral
Paneer,Olive Oil,Olive Oil,DEPENDS,Context based,neutral
Apple,Orange,Almonds,DEPENDS,Context based,neutral
Jowar,Chickpeas,Quinoa,GOOD,Stable glucose,metabolic
Rice,Potato,Ghee,DEPENDS,Context based,neutral
Bajra,Egg,Apple,GOOD,Stable glucose,metabolic
Milk,Curd,Ragi,DEPENDS,Context based,neutral
Apple,Lemon,Brown Rice,DEPENDS,Context based,neutral
Olive Oil,Fish,Dal,DEPENDS,Context based,neutral
Chickpeas,Quinoa,Sweet Potato,GOOD,Stable glucose,metabolic
Fish,Bajra,Sweet Potato,GOOD,Stable glucose,metabolic
Almonds,Rice,Broccoli,DEPENDS,Context based,neutral
Olive Oil,Paneer,Chicken,DEPENDS,Context based,neutral
Rice,Rice,Banana,DEPENDS,Context based,neutral
Egg,Chicken,Peanut Butter,DEPENDS,Context based,neutral
Curd,Jowar,Spinach,BAD,Calcium blocks iron,absorption
Paneer,Carrot,Egg,DEPENDS,Context based,neutral
Tomato,Banana,Fish,DEPENDS,Context based,neutral
Sweet Potato,Broccoli,Paneer,GOOD,Stable glucose,metabolic
Fish,Jowar,Chickpeas,GOOD,Stable glucose,metabolic
Milk,Quinoa,Lemon,DEPENDS,Context based,neutral
Banana,Milk,Peanut Butter,DEPENDS,Context based,neutral
Dal,Brown Rice,Milk,GOOD,Stable glucose,metabolic
Sweet Potato,Apple,Chickpeas,GOOD,Stable glucose,metabolic
Sweet Potato,Rice,Egg,GOOD,Stable glucose,metabolic
Olive Oil,Paneer,Bajra,GOOD,Stable glucose,metabolic
Carrot,Carrot,Paneer,DEPENDS,Context based,neutral
Jowar,Broccoli,Sweet Potato,DEPENDS,Context based,neutral
Carrot,Curd,Sweet Potato,DEPENDS,Context based,neutral
Lemon,Sweet Potato,Paneer,GOOD,Stable glucose,metabolic
Curd,Sweet Potato,Olive Oil,DEPENDS,Context based,neutral
Quinoa,Paneer,Brown Rice,GOOD,Stable glucose,metabolic
Chicken,Ragi,Egg,GOOD,Stable glucose,metabolic
Curd,Olive Oil,Almonds,DEPENDS,Context based,neutral
Brown Rice,Broccoli,Sweet Potato,DEPENDS,Context based,neutral
Curd,Fish,Tomato,DEPENDS,Context based,neutral
Milk,Peanut Butter,Carrot,GOOD,Vitamin A absorption,absorption
Orange,Potato,Tomato,DEPENDS,Context based,neutral
Fish,Potato,Chickpeas,GOOD,Stable glucose,metabolic
Almonds,Brown Rice,Olive Oil,DEPENDS,Context based,neutral
Peanut Butter,Tomato,Almonds,DEPENDS,Context based,neutral
Almonds,Peanut Butter,Ragi,DEPENDS,Context based,neutral
Spinach,Quinoa,Carrot,DEPENDS,Context based,neutral
Banana,Curd,Almonds,DEPENDS,Context based,neutral
Milk,Carrot,Peanut Butter,GOOD,Vitamin A absorption,absorption
Broccoli,Ghee,Paneer,DEPENDS,Context based,neutral
Peanut Butter,Quinoa,Quinoa,DEPENDS,Context based,neutral
Orange,Apple,Fish,DEPENDS,Context based,neutral
Milk,Ghee,Almonds,DEPENDS,Context based,neutral
Banana,Brown Rice,Almonds,BAD,Heavy digestion + sugar spike,metabolic
Chickpeas,Lemon,Chicken,DEPENDS,Context based,neutral
Broccoli,Tomato,Lemon,DEPENDS,Context based,neutral
Fish,Rice,Spinach,GOOD,Stable glucose,metabolic
Bajra,Orange,Tomato,DEPENDS,Context based,neutral
Tomato,Curd,Potato,DEPENDS,Context based,neutral
Chickpeas,Quinoa,Chickpeas,GOOD,Stable glucose,metabolic
Lemon,Potato,Almonds,DEPENDS,Context based,neutral
Curd,Quinoa,Rice,DEPENDS,Context based,neutral
Spinach,Curd,Quinoa,BAD,Calcium blocks iron,absorption
Quinoa,Milk,Fish,GOOD,Stable glucose,metabolic
Lemon,Olive Oil,Paneer,DEPENDS,Context based,neutral
Sweet Potato,Banana,Peanut Butter,BAD,Heavy digestion + sugar spike,metabolic
Orange,Orange,Curd,DEPENDS,Context based,neutral
Almonds,Tomato,Potato,DEPENDS,Context based,neutral
Olive Oil,Almonds,Ragi,DEPENDS,Context based,neutral
Sweet Potato,Olive Oil,Carrot,GOOD,Vitamin A absorption,absorption
Broccoli,Almonds,Chickpeas,DEPENDS,Context based,neutral
Bajra,Rice,Chicken,GOOD,Stable glucose,metabolic
Curd,Banana,Tomato,DEPENDS,Context based,neutral
Tomato,Sweet Potato,Curd,DEPENDS,Context based,neutral
Bajra,Paneer,Peanut Butter,GOOD,Stable glucose,metabolic
Chickpeas,Orange,Milk,DEPENDS,Context based,neutral
Ghee,Carrot,Olive Oil,GOOD,Vitamin A absorption,absorption
Ghee,Jowar,Lemon,DEPENDS,Context based,neutral
Quinoa,Ghee,Bajra,DEPENDS,Context based,neutral
Bajra,Lemon,Carrot,DEPENDS,Context based,neutral
Apple,Milk,Rice,DEPENDS,Context based,neutral
Egg,Potato,Almonds,GOOD,Stable glucose,metabolic
Lemon,Dal,Spinach,GOOD,Iron absorption boost,absorption
Potato,Olive Oil,Dal,GOOD,Stable glucose,metabolic
Potato,Chickpeas,Potato,GOOD,Stable glucose,metabolic
Spinach,Olive Oil,Bajra,DEPENDS,Context based,neutral
Orange,Spinach,Bajra,GOOD,Iron absorption boost,absorption
Rice,Chicken,Jowar,GOOD,Stable glucose,metabolic
Chicken,Paneer,Bajra,GOOD,Stable glucose,metabolic
Potato,Brown Rice,Carrot,DEPENDS,Context based,neutral
Orange,Bajra,Lemon,DEPENDS,Context based,neutral
Egg,Rice,Egg,GOOD,Stable glucose,metabolic
Fish,Bajra,Fish,GOOD,Stable glucose,metabolic
Brown Rice,Sweet Potato,Orange,DEPENDS,Context based,neutral
Almonds,Apple,Ragi,BAD,Heavy digestion + sugar spike,metabolic
Jowar,Jowar,Quinoa,DEPENDS,Context based,neutral
Fish,Jowar,Broccoli,GOOD,Stable glucose,metabolic
Bajra,Jowar,Milk,DEPENDS,Context based,neutral
Potato,Chickpeas,Sweet Potato,GOOD,Stable glucose,metabolic
Lemon,Chicken,Jowar,GOOD,Stable glucose,metabolic
Bajra,Orange,Jowar,DEPENDS,Context based,neutral
Banana,Ragi,Paneer,GOOD,Stable glucose,metabolic
Paneer,Almonds,Quinoa,GOOD,Stable glucose,metabolic
Apple,Quinoa,Ghee,BAD,Heavy digestion + sugar spike,metabolic
Sweet Potato,Apple,Brown Rice,DEPENDS,Context based,neutral
Olive Oil,Dal,Bajra,GOOD,Stable glucose,metabolic
Rice,Potato,Almonds,DEPENDS,Context based,neutral
Dal,Quinoa,Jowar,GOOD,Stable glucose,metabolic
Chicken,Quinoa,Milk,GOOD,Stable glucose,metabolic
Bajra,Peanut Butter,Curd,DEPENDS,Context based,neutral
Egg,Lemon,Broccoli,DEPENDS,Context based,neutral
Chickpeas,Chicken,Rice,GOOD,Stable glucose,metabolic
Sweet Potato,Peanut Butter,Brown Rice,DEPENDS,Context based,neutral
Fish,Chickpeas,Orange,DEPENDS,Context based,neutral
Spinach,Potato,Banana,DEPENDS,Context based,neutral
Spinach,Sweet Potato,Egg,GOOD,Stable glucose,metabolic
Apple,Olive Oil,Curd,DEPENDS,Context based,neutral
Jowar,Lemon,Apple,DEPENDS,Context based,neutral
Banana,Potato,Ghee,BAD,Heavy digestion + sugar spike,metabolic
Broccoli,Lemon,Ghee,DEPENDS,Context based,neutral
Brown Rice,Chickpeas,Bajra,GOOD,Stable glucose,metabolic
Apple,Sweet Potato,Ghee,BAD,Heavy digestion + sugar spike,metabolic
